Title,Year,Rating,Genres,Streaming_Services,URL
12th Fail,2023,9.2,Drama,"['Hotstar', 'Bookmyshow']",https://www.justwatch.com/in/movie/12th-fail
Hi Nanna,2023,8.3,"Drama, Romance, Kids & Family",['Netflix'],https://www.justwatch.com/in/movie/nani30
Oppenheimer,2023,8.4,"Drama, History","['Apple TV', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/oppenheimer
Parking,2023,8.0,"Mystery & Thriller, Drama",['Hotstar'],https://www.justwatch.com/in/movie/parking-2023
Sam Bahadur,2023,8.1,"Drama, War & Military, History","['Zee5', 'Bookmyshow']",https://www.justwatch.com/in/movie/sam-bahadur
Hanu-Man,2024,8.6,"Fantasy, Action & Adventure, Comedy, Science-Fiction",[],https://www.justwatch.com/in/movie/hanu-man
Poor Things,2023,8.4,"Science-Fiction, Romance, Comedy, Drama",[],https://www.justwatch.com/in/movie/poor-things
Jigarthanda Double X,2023,8.1,"Action & Adventure, Comedy, Drama, Western",['Netflix'],https://www.justwatch.com/in/movie/jigarthanda-doublex
Sapta Sagaradaache Ello: Side B,2023,8.3,"Romance, Drama",['Amazon Prime Video'],https://www.justwatch.com/in/movie/sapta-sagaradaache-ello-side-b
Chithha,2023,8.3,"Drama, Mystery & Thriller",['Hotstar'],https://www.justwatch.com/in/movie/chittha
Dada,2023,8.2,"Romance, Drama, Comedy, Kids & Family",['Amazon Prime Video'],https://www.justwatch.com/in/movie/dada-2023
Merry Christmas,2024,8.0,"Drama, Mystery & Thriller",[],https://www.justwatch.com/in/movie/merry-christmas-2024
Godzilla Minus One,2023,8.3,"Science-Fiction, Horror, Action & Adventure, Drama",[],https://www.justwatch.com/in/movie/godzilla-minus-one
777 Charlie,2022,8.8,"Comedy, Drama",['Voot'],https://www.justwatch.com/in/movie/777-charlie
Keedaa Cola,2023,8.1,"Action & Adventure, Comedy, Crime",['aha'],https://www.justwatch.com/in/movie/keedaa-cola
My Name Is Shruthi,2023,8.1,"Mystery & Thriller, Crime",['Amazon Prime Video'],https://www.justwatch.com/in/movie/my-name-is-shruthi
K.G.F: Chapter 2,2022,8.3,"Mystery & Thriller, Action & Adventure, Crime, Drama","['Amazon Prime Video', 'Amazon Video']",https://www.justwatch.com/in/movie/k-g-f-chapter-2
Spider-Man: Across the Spider-Verse,2023,8.6,"Science-Fiction, Animation, Action & Adventure, Comedy, Kids & Family, Fantasy","['Apple TV', 'Netflix', 'Zee5', 'Apple TV']",https://www.justwatch.com/in/movie/spider-man-into-the-spider-verse-2
