Title,Year,Rating,Genres,Streaming_Services,URL
12th Fail,2023, 9.2,Drama,"['Hotstar', 'Bookmyshow']",https://www.justwatch.com/in/movie/12th-fail
Animal,2023, 6.6,"Drama, Action & Adventure, Crime, Mystery & Thriller","['Netflix', 'Bookmyshow']",https://www.justwatch.com/in/movie/animal-2022
Salaar,2023, 6.6,"Crime, Drama, Mystery & Thriller, Action & Adventure","['Netflix', 'Bookmyshow']",https://www.justwatch.com/in/movie/salaar
Tiger 3,2023, 6.0,"Mystery & Thriller, Action & Adventure","['Amazon Prime Video', 'Bookmyshow']",https://www.justwatch.com/in/movie/tiger-3
Hi Nanna,2023, 8.3,"Drama, Romance, Kids & Family",['Netflix'],https://www.justwatch.com/in/movie/nani30
Oppenheimer,2023, 8.4,"Drama, History","['Apple TV', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/oppenheimer
Parking,2023, 8.0,"Mystery & Thriller, Drama",['Hotstar'],https://www.justwatch.com/in/movie/parking-2023
Sam Bahadur,2023, 8.1,"Drama, War & Military, History","['Zee5', 'Bookmyshow']",https://www.justwatch.com/in/movie/sam-bahadur
Mission: Impossible - Dead Reckoning Part One,2023, 7.7,"Action & Adventure, Mystery & Thriller","['Apple TV', 'Amazon Prime Video', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/mission-impossible-7
Kaathal – The Core,2023, 7.6,"Drama, Crime",['Amazon Prime Video'],https://www.justwatch.com/in/movie/kaathal-the-core
Killers of the Flower Moon,2023, 7.7,"Drama, Western, Crime, History, Romance","['Apple TV Plus', 'Apple TV', 'Apple TV Plus', 'Apple TV']",https://www.justwatch.com/in/movie/killers-of-the-flower-moon
Jawan,2023, 7.0,"Action & Adventure, Mystery & Thriller","['Netflix', 'Bookmyshow', 'Google Play Movies', 'Google Play Movies']",https://www.justwatch.com/in/movie/jawan
Dunki,2023, 7.3,"Drama, Comedy",['Bookmyshow'],https://www.justwatch.com/in/movie/dunki
Devil,2023, 6.8,"Mystery & Thriller, Action & Adventure, Drama","['Amazon Prime Video', 'Bookmyshow', 'Amazon Video']",https://www.justwatch.com/in/movie/devil-2023
Hanu-Man,2024, 8.6,"Fantasy, Action & Adventure, Comedy, Science-Fiction",[],https://www.justwatch.com/in/movie/hanu-man
The Kerala Story,2023, 7.2,Drama,[],https://www.justwatch.com/in/movie/the-kerala-story
Talk to Me,2023, 7.1,"Horror, Mystery & Thriller","['Apple TV', 'Amazon Prime Video', 'Google Play Movies', 'Google Play Movies']",https://www.justwatch.com/in/movie/talk-to-me-2022
Barbie,2023, 6.9,"Action & Adventure, Fantasy, Comedy","['Apple TV', 'Jio Cinema', 'Amazon Video', 'Apple TV']",https://www.justwatch.com/in/movie/barbie-2023
Society of the Snow,2023, 7.9,"Drama, History, Mystery & Thriller",['Netflix'],https://www.justwatch.com/in/movie/society-of-the-snow
Aquaman and the Lost Kingdom,2023, 5.8,"Action & Adventure, Fantasy, Science-Fiction",['Bookmyshow'],https://www.justwatch.com/in/movie/aquaman-and-the-lost-kingdom
Saltburn,2023, 7.1,"Comedy, Mystery & Thriller, Drama",[],https://www.justwatch.com/in/movie/saltburn
Kho Gaye Hum Kahan,2023, 7.7,"Drama, Comedy, Romance",['Netflix'],https://www.justwatch.com/in/movie/kho-gaye-hum-kahan
Anatomy of a Fall,2023, 7.8,"Mystery & Thriller, Drama, Crime",[],https://www.justwatch.com/in/movie/anatomie-dune-chute
Lift,2024, 5.5,"Action & Adventure, Comedy, Crime, Drama, Mystery & Thriller",['Netflix'],https://www.justwatch.com/in/movie/lift-0
Guthlee Ladoo,2023, 7.7,Drama,['Amazon Prime Video'],https://www.justwatch.com/in/movie/guthlee-ladoo
Three of Us,2023, 7.6,Drama,['Netflix'],https://www.justwatch.com/in/movie/three-of-us
Mangalavaaram,2023, 6.7,"Action & Adventure, Horror, Mystery & Thriller","['Hotstar', 'Bookmyshow']",https://www.justwatch.com/in/movie/mangalavaram
